wall_epoch,phase,gpu,memory_used_mib,utilization_pct
1787561344.6094768,startup,3,4,0.0
1787561344.6094768,startup,4,4,0.0
1787561344.6094768,startup,5,4,0.0
1787561344.6094768,startup,6,4,0.0
1787561346.6495037,startup,3,4,0.0
1787561346.6495037,startup,4,4,0.0
1787561346.6495037,startup,5,4,0.0
1787561346.6495037,startup,6,4,0.0
1787561348.5648217,startup,3,4,0.0
1787561348.5648217,startup,4,4,0.0
1787561348.5648217,startup,5,4,0.0
1787561348.5648217,startup,6,4,0.0
1787561350.344462,startup,3,4,0.0
1787561350.344462,startup,4,4,0.0
1787561350.344462,startup,5,4,0.0
1787561350.344462,startup,6,4,0.0
1787561352.1828728,startup,3,4,0.0
1787561352.1828728,startup,4,4,0.0
1787561352.1828728,startup,5,4,0.0
1787561352.1828728,startup,6,4,0.0
1787561353.9437099,startup,3,4,0.0
1787561353.9437099,startup,4,4,0.0
1787561353.9437099,startup,5,4,0.0
1787561353.9437099,startup,6,4,0.0
1787561356.0128858,startup,3,4,0.0
1787561356.0128858,startup,4,4,0.0
1787561356.0128858,startup,5,4,0.0
1787561356.0128858,startup,6,4,0.0
1787561357.6576126,startup,3,4,0.0
1787561357.6576126,startup,4,4,0.0
1787561357.6576126,startup,5,4,0.0
1787561357.6576126,startup,6,4,0.0
1787561359.2298498,startup,3,4,0.0
1787561359.2298498,startup,4,4,0.0
1787561359.2298498,startup,5,4,0.0
1787561359.2298498,startup,6,4,0.0
1787561360.838823,startup,3,4,0.0
1787561360.838823,startup,4,4,0.0
1787561360.838823,startup,5,4,0.0
1787561360.838823,startup,6,4,0.0
1787561362.5059345,startup,3,623,0.0
1787561362.5059345,startup,4,623,0.0
1787561362.5059345,startup,5,623,0.0
1787561362.5059345,startup,6,623,0.0
1787561364.46128,startup,3,68047,0.0
1787561364.46128,startup,4,68027,0.0
1787561364.46128,startup,5,68283,0.0
1787561364.46128,startup,6,68499,0.0
1787561366.4307103,startup,3,77441,0.0
1787561366.4307103,startup,4,77441,0.0
1787561366.4307103,startup,5,77441,0.0
1787561366.4307103,startup,6,77441,0.0
1787561368.511228,startup,3,77441,0.0
1787561368.511228,startup,4,77441,0.0
1787561368.511228,startup,5,77441,0.0
1787561368.511228,startup,6,77441,0.0
1787561370.8210115,startup,3,77441,0.0
1787561370.8210115,startup,4,77441,0.0
1787561370.8210115,startup,5,77441,0.0
1787561370.8210115,startup,6,77441,0.0
1787561373.0958686,startup,3,77441,0.0
1787561373.0958686,startup,4,77441,0.0
1787561373.0958686,startup,5,77441,0.0
1787561373.0958686,startup,6,77441,0.0
1787561375.740698,startup,3,77441,0.0
1787561375.740698,startup,4,77441,0.0
1787561375.740698,startup,5,77441,0.0
1787561375.740698,startup,6,77441,0.0
1787561378.7844696,startup,3,77441,0.0
1787561378.7844696,startup,4,77441,0.0
1787561378.7844696,startup,5,77441,0.0
1787561378.7844696,startup,6,77441,0.0
1787561382.4675055,startup,3,77441,0.0
1787561382.4675055,startup,4,77441,0.0
1787561382.4675055,startup,5,77441,0.0
1787561382.4675055,startup,6,77441,0.0
1787561386.6628177,startup,3,77441,0.0
1787561386.6628177,startup,4,77441,0.0
1787561386.6628177,startup,5,77441,0.0
1787561386.6628177,startup,6,77441,0.0
1787561390.5007837,startup,3,79211,5.0
1787561390.5007837,startup,4,78031,4.0
1787561390.5007837,startup,5,79355,5.0
1787561390.5007837,startup,6,77923,0.0
1787561394.4832137,startup,3,84847,9.0
1787561394.4832137,startup,4,84333,5.0
1787561394.4832137,startup,5,84029,4.0
1787561394.4832137,startup,6,82285,1.0
1787561397.350652,startup,3,87383,0.0
1787561397.350652,startup,4,87383,6.0
1787561397.350652,startup,5,86895,3.0
1787561397.350652,startup,6,86527,7.0
1787561399.5982711,startup,3,87961,1.0
1787561399.5982711,startup,4,87383,0.0
1787561399.5982711,startup,5,87383,0.0
1787561399.5982711,startup,6,87383,0.0
1787561401.6770475,startup,3,87961,12.0
1787561401.6770475,startup,4,87961,12.0
1787561401.6770475,startup,5,87961,11.0
1787561401.6770475,startup,6,87961,8.0
1787561404.8283772,startup,3,87961,11.0
1787561404.8283772,startup,4,87961,10.0
1787561404.8283772,startup,5,87961,13.0
1787561404.8283772,startup,6,87961,13.0
1787561408.6912177,startup,3,87961,8.0
1787561408.6912177,startup,4,87961,12.0
1787561408.6912177,startup,5,87961,9.0
1787561408.6912177,startup,6,87961,9.0
1787561412.4316905,startup,3,87961,12.0
1787561412.4316905,startup,4,87961,10.0
1787561412.4316905,startup,5,87961,5.0
1787561412.4316905,startup,6,87961,10.0
1787561415.7445407,startup,3,87961,2.0
1787561415.7445407,startup,4,87961,4.0
1787561415.7445407,startup,5,87961,0.0
1787561415.7445407,startup,6,87961,0.0
1787561418.699137,startup,3,87961,10.0
1787561418.699137,startup,4,87961,5.0
1787561418.699137,startup,5,87961,9.0
1787561418.699137,startup,6,87961,5.0
1787561421.206614,startup,3,88031,0.0
1787561421.206614,startup,4,87961,0.0
1787561421.206614,startup,5,87961,2.0
1787561421.206614,startup,6,87961,4.0
1787561423.6331878,startup,3,88031,0.0
1787561423.6331878,startup,4,88031,0.0
1787561423.6331878,startup,5,88031,0.0
1787561423.6331878,startup,6,88031,0.0
1787561425.6166315,control_cold,3,88131,0.0
1787561425.6166315,control_cold,4,88131,0.0
1787561425.6166315,control_cold,5,88131,0.0
1787561425.6166315,control_cold,6,88131,0.0
1787561428.3259358,control_cold,3,88839,0.0
1787561428.3259358,control_cold,4,88839,0.0
1787561428.3259358,control_cold,5,88839,25.0
1787561428.3259358,control_cold,6,88839,1.0
1787561430.6695285,control_cold,3,89707,1.0
1787561430.6695285,control_cold,4,89715,1.0
1787561430.6695285,control_cold,5,89715,0.0
1787561430.6695285,control_cold,6,89715,0.0
1787561433.5676608,control_cold,3,89707,0.0
1787561433.5676608,control_cold,4,89715,0.0
1787561433.5676608,control_cold,5,89715,0.0
1787561433.5676608,control_cold,6,89715,0.0
1787561435.7996035,control_cold,3,89707,0.0
1787561435.7996035,control_cold,4,89715,0.0
1787561435.7996035,control_cold,5,89715,0.0
1787561435.7996035,control_cold,6,89715,0.0
1787561437.8965251,control_cold,3,90809,0.0
1787561437.8965251,control_cold,4,90691,0.0
1787561437.8965251,control_cold,5,90691,0.0
1787561437.8965251,control_cold,6,90691,0.0
1787561440.8200767,control_cold,3,92191,0.0
1787561440.8200767,control_cold,4,92073,0.0
1787561440.8200767,control_cold,5,92073,0.0
1787561440.8200767,control_cold,6,92073,0.0
1787561443.134095,control_cold,3,92191,0.0
1787561443.134095,control_cold,4,92073,0.0
1787561443.134095,control_cold,5,92073,0.0
1787561443.134095,control_cold,6,92073,0.0
1787561445.7056067,control_cold,3,93417,0.0
1787561445.7056067,control_cold,4,93299,0.0
1787561445.7056067,control_cold,5,93299,21.0
1787561445.7056067,control_cold,6,93299,0.0
1787561447.90785,control_cold,3,93935,0.0
1787561447.90785,control_cold,4,93817,0.0
1787561447.90785,control_cold,5,93817,0.0
1787561447.90785,control_cold,6,93817,0.0
1787561450.3251188,control_cold,3,93939,100.0
