wall_epoch,phase,gpu,memory_used_mib,utilization_pct
1787560850.8628807,canonical_cold,6,92133,0.0
1787560853.1580122,canonical_cold,3,93477,100.0
1787560853.1580122,canonical_cold,4,93359,100.0
1787560853.1580122,canonical_cold,5,93359,100.0
1787560853.1580122,canonical_cold,6,93359,100.0
1787560855.4595344,canonical_cold,3,93997,0.0
1787560855.4595344,canonical_cold,4,93881,0.0
1787560855.4595344,canonical_cold,5,93881,0.0
1787560855.4595344,canonical_cold,6,93881,3.0
1787560857.7709234,canonical_cold,3,93997,100.0
1787560857.7709234,canonical_cold,4,94399,100.0
1787560857.7709234,canonical_cold,5,94399,100.0
1787560857.7709234,canonical_cold,6,94399,100.0
1787560859.8887103,canonical_cold,3,93997,100.0
1787560859.8887103,canonical_cold,4,94399,100.0
1787560859.8887103,canonical_cold,5,94399,100.0
1787560859.8887103,canonical_cold,6,94399,100.0
1787560862.1833029,canonical_cold,3,93997,100.0
1787560862.1833029,canonical_cold,4,94399,100.0
1787560862.1833029,canonical_cold,5,94399,100.0
1787560862.1833029,canonical_cold,6,94399,100.0
1787560864.3440542,canonical_cold,3,93997,94.0
1787560864.3440542,canonical_cold,4,94399,95.0
1787560864.3440542,canonical_cold,5,94399,98.0
1787560864.3440542,canonical_cold,6,94399,96.0
1787560867.0674314,canonical_cold,3,93997,100.0
1787560867.0674314,canonical_cold,4,94399,100.0
1787560867.0674314,canonical_cold,5,94399,100.0
1787560867.0674314,canonical_cold,6,94399,100.0
1787560869.3032217,canonical_cold,3,93997,100.0
1787560869.3032217,canonical_cold,4,94399,100.0
1787560869.3032217,canonical_cold,5,94399,100.0
1787560869.3032217,canonical_cold,6,94399,100.0
1787560871.4867198,canonical_cold,3,93997,100.0
1787560871.4867198,canonical_cold,4,94399,100.0
1787560871.4867198,canonical_cold,5,94399,100.0
1787560871.4867198,canonical_cold,6,94399,96.0
1787560873.7414556,canonical_cold,3,93997,100.0
1787560873.7414556,canonical_cold,4,94399,100.0
1787560873.7414556,canonical_cold,5,94399,100.0
1787560873.7414556,canonical_cold,6,94399,100.0
1787560876.0178974,canonical_cold,3,93997,100.0
1787560876.0178974,canonical_cold,4,94399,100.0
1787560876.0178974,canonical_cold,5,94399,100.0
1787560876.0178974,canonical_cold,6,94399,100.0
1787560878.1086016,canonical_cold,3,93997,95.0
1787560878.1086016,canonical_cold,4,94399,95.0
1787560878.1086016,canonical_cold,5,94399,96.0
1787560878.1086016,canonical_cold,6,94399,96.0
1787560880.24285,canonical_cold,3,93997,100.0
1787560880.24285,canonical_cold,4,94399,100.0
1787560880.24285,canonical_cold,5,94399,100.0
1787560880.24285,canonical_cold,6,94399,100.0
1787560883.0236924,canonical_cold,3,93997,100.0
1787560883.0236924,canonical_cold,4,94399,100.0
1787560883.0236924,canonical_cold,5,94399,100.0
1787560883.0236924,canonical_cold,6,94399,100.0
1787560885.2581909,canonical_cold,3,93997,100.0
1787560885.2581909,canonical_cold,4,94399,100.0
1787560885.2581909,canonical_cold,5,94399,100.0
1787560885.2581909,canonical_cold,6,94399,100.0
1787560887.5099058,canonical_cold,3,93997,100.0
1787560887.5099058,canonical_cold,4,94399,100.0
1787560887.5099058,canonical_cold,5,94399,100.0
1787560887.5099058,canonical_cold,6,94399,100.0
1787560889.879475,canonical_cold,3,93997,100.0
1787560889.879475,canonical_cold,4,94399,100.0
1787560889.879475,canonical_cold,5,94399,100.0
1787560889.879475,canonical_cold,6,94399,100.0
1787560892.09293,canonical_cold,3,93997,100.0
1787560892.09293,canonical_cold,4,94399,100.0
1787560892.09293,canonical_cold,5,94399,100.0
1787560892.09293,canonical_cold,6,94399,100.0
1787560894.2492764,canonical_cold,3,93997,100.0
1787560894.2492764,canonical_cold,4,94399,100.0
1787560894.2492764,canonical_cold,5,94399,100.0
1787560894.2492764,canonical_cold,6,94399,100.0
1787560896.363013,canonical_cold,3,93997,100.0
1787560896.363013,canonical_cold,4,94399,100.0
1787560896.363013,canonical_cold,5,94399,100.0
1787560896.363013,canonical_cold,6,94399,100.0
1787560898.5183716,canonical_cold,3,93997,100.0
1787560898.5183716,canonical_cold,4,94399,100.0
1787560898.5183716,canonical_cold,5,94399,100.0
1787560898.5183716,canonical_cold,6,94399,100.0
1787560900.7720275,canonical_cold,3,93997,100.0
1787560900.7720275,canonical_cold,4,94399,100.0
1787560900.7720275,canonical_cold,5,94399,100.0
1787560900.7720275,canonical_cold,6,94399,100.0
1787560903.54949,canonical_cold,3,93997,95.0
1787560903.54949,canonical_cold,4,94399,96.0
1787560903.54949,canonical_cold,5,94399,100.0
1787560903.54949,canonical_cold,6,94399,100.0
1787560906.4732158,canonical_cold,3,93997,100.0
